date,temperature,humidity,wind_speed
2021-07-25 00:15:00,79.4,33.3,8.5
2021-07-25 00:30:00,78.4,35.3,9.4
2021-07-25 00:45:00,78.1,34.9,9.2
2021-07-25 01:00:00,78.0,35.0,8.9
2021-07-25 01:15:00,77.7,35.6,9.0
2021-07-25 01:30:00,77.8,35.8,8.9
2021-07-25 01:45:00,77.6,35.9,8.8
2021-07-25 02:00:00,76.8,37.5,9.1
2021-07-25 02:15:00,75.4,39.8,9.4
2021-07-25 02:30:00,74.5,41.6,8.0
2021-07-25 02:45:00,74.4,41.9,7.3
2021-07-25 03:00:00,74.6,41.5,6.0
2021-07-25 03:15:00,73.8,43.1,5.0
2021-07-25 03:30:00,73.4,43.7,5.9
2021-07-25 03:45:00,73.4,42.8,6.3
2021-07-25 04:00:00,73.5,42.2,4.9
2021-07-25 04:15:00,72.4,44.5,5.2
2021-07-25 04:30:00,73.9,40.8,7.1
2021-07-25 04:45:00,74.1,40.7,7.2
2021-07-25 05:00:00,73.9,41.6,7.2
2021-07-25 05:15:00,73.6,42.5,7.2
2021-07-25 05:30:00,73.7,42.6,6.9
2021-07-25 05:45:00,74.0,42.3,6.9
2021-07-25 06:00:00,74.2,42.5,6.3
2021-07-25 06:15:00,74.4,42.5,7.1
2021-07-25 06:30:00,75.1,41.1,6.9
2021-07-25 06:45:00,76.1,39.9,5.7
2021-07-25 07:00:00,76.9,40.2,4.6
2021-07-25 07:15:00,76.7,44.9,3.9
2021-07-25 07:30:00,76.8,46.7,3.1
2021-07-25 07:45:00,77.0,45.6,3.5
2021-07-25 08:00:00,77.7,44.3,3.4
2021-07-25 08:15:00,78.5,44.1,3.9
2021-07-25 08:30:00,79.0,44.0,3.9
2021-07-25 08:45:00,79.9,42.2,3.4
2021-07-25 09:00:00,81.0,43.7,3.8
2021-07-25 09:15:00,81.5,44.2,5.0
2021-07-25 09:30:00,81.8,42.4,6.3
2021-07-25 09:45:00,82.5,42.7,6.9
2021-07-25 10:00:00,82.8,40.9,7.3
2021-07-25 10:15:00,83.2,38.5,7.0
2021-07-25 10:30:00,83.7,36.1,5.8
2021-07-25 10:45:00,84.4,35.2,5.2
2021-07-25 11:00:00,86.0,31.6,4.8
2021-07-25 11:15:00,86.5,29.0,5.2
2021-07-25 11:30:00,87.6,26.1,6.2
2021-07-25 11:45:00,87.9,26.2,6.5
2021-07-25 12:00:00,88.0,25.9,6.0
2021-07-25 12:15:00,88.5,27.0,5.7
2021-07-25 12:30:00,89.2,25.6,5.0
2021-07-25 12:45:00,89.7,24.0,4.6
2021-07-25 13:00:00,90.4,23.0,4.7
2021-07-25 13:15:00,91.6,21.7,5.2
2021-07-25 13:30:00,91.5,20.5,5.8
2021-07-25 13:45:00,91.7,21.1,5.5
2021-07-25 14:00:00,93.4,20.4,4.9
2021-07-25 14:15:00,94.3,18.2,4.4
2021-07-25 14:30:00,93.4,18.4,4.7
2021-07-25 14:45:00,94.4,17.4,4.0
2021-07-25 15:00:00,94.6,17.8,4.3
2021-07-25 15:15:00,93.9,19.1,5.4
2021-07-25 15:30:00,93.4,18.9,6.5
2021-07-25 15:45:00,93.6,18.1,5.2
2021-07-25 16:00:00,93.8,18.3,4.7
2021-07-25 16:15:00,93.9,17.9,4.5
2021-07-25 16:30:00,94.0,16.4,4.7
2021-07-25 16:45:00,94.0,16.7,4.3
2021-07-25 17:00:00,94.0,16.9,4.2
2021-07-25 17:15:00,94.2,16.7,3.2
2021-07-25 17:30:00,94.3,16.8,3.7
2021-07-25 17:45:00,93.7,18.9,3.8
2021-07-25 18:00:00,93.7,18.3,3.2
2021-07-25 18:15:00,93.3,20.6,3.0
2021-07-25 18:30:00,91.7,26.2,3.5
2021-07-25 18:45:00,90.5,26.8,2.6
2021-07-25 19:00:00,88.4,28.1,3.0
2021-07-25 19:15:00,85.3,30.7,4.3
2021-07-25 19:30:00,83.4,31.0,4.7
2021-07-25 19:45:00,82.0,33.8,4.6
2021-07-25 20:00:00,80.7,36.4,3.6
2021-07-25 20:15:00,78.6,39.3,4.4
2021-07-25 20:30:00,80.6,31.3,4.7
2021-07-25 20:45:00,79.1,37.6,4.8
2021-07-25 21:00:00,80.4,30.2,5.7
2021-07-25 21:15:00,82.8,24.7,6.5
2021-07-25 21:30:00,82.2,24.7,6.8
2021-07-25 21:45:00,81.6,25.2,6.7
2021-07-25 22:00:00,80.8,26.2,6.9
2021-07-25 22:15:00,80.2,27.3,6.9
2021-07-25 22:30:00,79.8,28.0,6.9
2021-07-25 22:45:00,79.3,28.5,6.8
